stock_code,stock_name,stock_index,total_events,overall_success_rate,overall_avg_mdd,overall_avg_return,dominant_combo,dominant_count,best_combo,best_combo_rate,best_combo_count,worst_combo,worst_combo_rate,combo_details
031980,피에스케이홀딩스,KOSDAQ150,61,31.1,-9.97,12.96,S(외+연+사),20,B1(외+투신),41.7,12,A2(외+사),0.0,S(외+연+사):35%/20건 | A1(외+연):30%/20건 | A2(외+사):0%/8건 | B1(외+투신):42%/12건 | B2(연+사):100%/1건
145020,휴젤,KOSDAQ150,68,30.9,-10.41,-2.81,A1(외+연),21,A2(외+사),54.5,11,B2(연+사),0.0,S(외+연+사):18%/17건 | A1(외+연):29%/21건 | A2(외+사):55%/11건 | B1(외+투신):38%/16건 | B2(연+사):0%/3건
000150,두산,KOSPI200,104,30.8,-9.46,13.11,S(외+연+사),78,B1(외+투신),50.0,2,B2(연+사),12.5,S(외+연+사):31%/78건 | A1(외+연):38%/8건 | A2(외+사):38%/8건 | B1(외+투신):50%/2건 | B2(연+사):12%/8건
008770,호텔신라,KOSPI200,36,30.6,-10.57,-3.51,A1(외+연),20,A1(외+연),40.0,20,S(외+연+사),0.0,S(외+연+사):0%/7건 | A1(외+연):40%/20건 | A2(외+사):0%/1건 | B1(외+투신):29%/7건 | B2(연+사):100%/1건
000100,유한양행,KOSPI200,85,30.6,-7.92,-3.34,A1(외+연),58,B1(외+투신),33.3,3,B2(연+사),0.0,S(외+연+사):24%/21건 | A1(외+연):33%/58건 | A2(외+사):100%/1건 | B1(외+투신):33%/3건 | B2(연+사):0%/2건
241710,코스메카코리아,KOSDAQ150,50,30.0,-11.61,0.11,A1(외+연),12,B2(연+사),50.0,4,A2(외+사),16.7,S(외+연+사):30%/10건 | A1(외+연):42%/12건 | A2(외+사):17%/12건 | B1(외+투신):25%/12건 | B2(연+사):50%/4건
018880,한온시스템,KOSPI200,30,30.0,-13.74,5.12,A1(외+연),15,S(외+연+사),100.0,2,A1(외+연),20.0,S(외+연+사):100%/2건 | A1(외+연):20%/15건 | A2(외+사):29%/7건 | B1(외+투신):40%/5건 | B2(연+사):0%/1건
445680,큐리옥스바이오시스템즈,KOSDAQ150,10,30.0,-9.43,14.31,A2(외+사),9,A2(외+사),33.3,9,A2(외+사),33.3,A2(외+사):33%/9건 | B1(외+투신):0%/1건
030520,한글과컴퓨터,KOSDAQ150,10,30.0,-9.0,-4.06,A1(외+연),8,A1(외+연),37.5,8,A1(외+연),37.5,A1(외+연):38%/8건 | A2(외+사):0%/1건 | B1(외+투신):0%/1건
025980,아난티,KOSDAQ150,10,30.0,-15.01,-8.04,A2(외+사),5,B1(외+투신),40.0,5,A2(외+사),20.0,A2(외+사):20%/5건 | B1(외+투신):40%/5건
011790,SKC,KOSPI200,67,29.9,-10.83,-3.15,A1(외+연),27,A1(외+연),40.7,27,S(외+연+사),7.7,S(외+연+사):8%/13건 | A1(외+연):41%/27건 | A2(외+사):31%/13건 | B1(외+투신):33%/9건 | B2(연+사):20%/5건
074600,원익QnC,KOSDAQ150,37,29.7,-8.5,9.49,B1(외+투신),13,A1(외+연),41.7,12,A2(외+사),20.0,S(외+연+사):33%/3건 | A1(외+연):42%/12건 | A2(외+사):20%/5건 | B1(외+투신):23%/13건 | B2(연+사):25%/4건
010140,삼성중공업,KOSPI200,99,29.3,-9.9,2.81,S(외+연+사),60,B1(외+투신),50.0,2,B2(연+사),0.0,S(외+연+사):37%/60건 | A1(외+연):18%/28건 | A2(외+사):14%/7건 | B1(외+투신):50%/2건 | B2(연+사):0%/2건
000250,삼천당제약,KOSDAQ150,76,28.9,-7.57,47.59,S(외+연+사),39,B2(연+사),66.7,3,A1(외+연),16.7,S(외+연+사):31%/39건 | A1(외+연):17%/24건 | A2(외+사):38%/8건 | B1(외+투신):50%/2건 | B2(연+사):67%/3건
348210,넥스틴,KOSDAQ150,49,28.6,-9.83,3.99,B1(외+투신),13,A1(외+연),60.0,10,B2(연+사),0.0,S(외+연+사):18%/11건 | A1(외+연):60%/10건 | A2(외+사):10%/10건 | B1(외+투신):38%/13건 | B2(연+사):0%/5건
007340,DN오토모티브,KOSPI200,7,28.6,-15.92,32.56,A1(외+연),3,A1(외+연),33.3,3,B2(연+사),0.0,S(외+연+사):0%/1건 | A1(외+연):33%/3건 | A2(외+사):100%/1건 | B2(연+사):0%/2건
084370,유진테크,KOSDAQ150,85,28.2,-10.6,9.3,S(외+연+사),28,S(외+연+사),35.7,28,A2(외+사),15.4,S(외+연+사):36%/28건 | A1(외+연):29%/24건 | A2(외+사):15%/13건 | B1(외+투신):27%/15건 | B2(연+사):20%/5건
251270,넷마블,KOSPI200,50,28.0,-9.11,-2.1,A1(외+연),25,A2(외+사),100.0,2,B1(외+투신),0.0,S(외+연+사):50%/10건 | A1(외+연):16%/25건 | A2(외+사):100%/2건 | B1(외+투신):0%/8건 | B2(연+사):60%/5건
008930,한미사이언스,KOSPI200,18,27.8,-12.95,-5.39,A1(외+연),9,B2(연+사),50.0,2,S(외+연+사),0.0,S(외+연+사):0%/2건 | A1(외+연):44%/9건 | A2(외+사):0%/4건 | B1(외+투신):0%/1건 | B2(연+사):50%/2건
010130,고려아연,KOSPI200,90,27.8,-11.75,7.05,S(외+연+사),52,A1(외+연),39.1,23,B2(연+사),20.0,S(외+연+사):23%/52건 | A1(외+연):39%/23건 | A2(외+사):25%/4건 | B1(외+투신):100%/1건 | B2(연+사):20%/10건
298020,효성티앤씨,KOSPI200,29,27.6,-13.65,14.68,S(외+연+사),9,S(외+연+사),44.4,9,B2(연+사),0.0,S(외+연+사):44%/9건 | A1(외+연):25%/8건 | A2(외+사):20%/5건 | B1(외+투신):100%/1건 | B2(연+사):0%/6건
079550,LIG넥스원,KOSPI200,98,27.6,-12.73,10.49,S(외+연+사),71,A2(외+사),60.0,5,B2(연+사),0.0,S(외+연+사):24%/71건 | A1(외+연):44%/16건 | A2(외+사):60%/5건 | B2(연+사):0%/6건
036570,엔씨소프트,KOSPI200,91,27.5,-9.93,2.05,S(외+연+사),51,S(외+연+사),29.4,51,B1(외+투신),0.0,S(외+연+사):29%/51건 | A1(외+연):27%/22건 | A2(외+사):27%/11건 | B1(외+투신):0%/3건 | B2(연+사):25%/4건
161890,한국콜마,KOSPI200,55,27.3,-9.19,-1.96,A1(외+연),21,A2(외+사),40.0,5,B1(외+투신),20.0,S(외+연+사):27%/15건 | A1(외+연):24%/21건 | A2(외+사):40%/5건 | B1(외+투신):20%/5건 | B2(연+사):33%/9건
361610,SK아이이테크놀로지,KOSPI200,11,27.3,-13.91,-4.84,A1(외+연),5,B1(외+투신),25.0,4,A1(외+연),20.0,S(외+연+사):100%/1건 | A1(외+연):20%/5건 | A2(외+사):0%/1건 | B1(외+투신):25%/4건
